t.C.nm, C.Int.mu,  C.Int.unc, Si.Int.mu, Si.Int.unc
0.000,18.380,0.860,25884.120,32.180
5.000,99.360,3.100,25652.820,32.030
10.000,212.730,2.920,25536.830,31.960
15.000,318.320,3.570,25272.490,31.800
20.000,440.490,4.200,25341.460,31.840
25.000,544.390,4.670,24973.040,31.600
30.000,624.060,5.000,24987.450,31.620
35.000,745.360,5.460,24687.350,33.860
40.000,849.210,5.830,24715.930,31.440
45.000,972.660,6.240,24413.560,31.250
50.000,1072.740,6.550,24326.550,31.190
55.000,1190.640,6.900,24250.100,31.140
60.000,1323.440,7.280,24148.600,31.080
65.000,1421.670,7.540,23912.630,30.930
70.000,1535.330,7.840,23823.320,30.870
75.000,1658.820,8.260,23614.180,30.730
80.000,1772.080,8.420,23451.210,30.630
85.000,1909.020,8.740,23302.530,30.530
90.000,2002.510,8.950,23125.270,30.410
95.000,2106.530,9.180,23143.820,30.430
100.000,2216.760,9.420,22903.750,30.270
