 #  Results from PENEPMA.
 #  Probability of emission of characteristic photons. All in 1/(sr*electron).
 #    P = primary photons (from electron interactions);
 #    C = flourescence from characteristic x rays;
 #    B = flourescence from bremsstrahlung quanta;
 #   TF = C+B, total fluorescence;
 #    T = P+C+B, total intensity;
 #  unc = statistical uncertainty (3 sigma).
 #
 # IZ S0 S1  E (eV)      P            unc       C            unc       B            unc       TF           unc       T            unc
   35 M1 M2  5.9670E+01  1.022780E-07 9.86E-09  1.055397E-10 3.17E-10  2.827115E-11 9.54E-12  1.338108E-10 3.26E-10  1.024118E-07 9.86E-09
   35 M1 M3  6.6710E+01  2.782197E-07 1.63E-08  1.055397E-10 3.17E-10  8.409772E-11 1.65E-11  1.896374E-10 3.33E-10  2.784094E-07 1.63E-08
   35 M5 N3  6.7420E+01  6.099556E-07 2.41E-08  2.110793E-10 4.48E-10  8.767635E-11 1.68E-11  2.987557E-10 4.65E-10  6.102544E-07 2.41E-08
   35 M4 N2  6.8000E+01  4.015008E-07 1.95E-08  0.000000E+00 0.00E+00  6.298382E-11 1.42E-11  6.298382E-11 1.42E-11  4.015638E-07 1.95E-08
   35 M4 N3  6.8560E+01  7.852652E-08 8.64E-09  0.000000E+00 0.00E+00  1.180947E-11 6.17E-12  1.180947E-11 6.17E-12  7.853833E-08 8.64E-09
   19 L1 L2  6.9510E+01  7.483063E-07 2.67E-08  7.387777E-10 8.38E-10  3.120562E-10 3.17E-11  1.050834E-09 8.69E-10  7.493571E-07 2.67E-08
   19 L1 L3  7.2520E+01  2.097900E-06 4.47E-08  8.443174E-10 8.96E-10  8.588703E-10 5.26E-11  1.703188E-09 9.48E-10  2.099603E-06 4.47E-08
   35 M3 M5  1.0890E+02  3.396454E-06 5.68E-08  9.498570E-10 9.50E-10  9.372422E-10 5.50E-11  1.887099E-09 1.00E-09  3.398341E-06 5.68E-08
   35 M3 M4  1.0890E+02  3.643451E-07 1.86E-08  1.055397E-10 3.17E-10  1.084324E-10 1.87E-11  2.139720E-10 3.35E-10  3.645591E-07 1.86E-08
   35 M2 M4  1.1223E+02  1.820982E-06 4.16E-08  5.276983E-10 7.08E-10  5.396569E-10 4.17E-11  1.067355E-09 7.50E-10  1.822050E-06 4.16E-08
   35 M3 N1  1.6060E+02  6.924833E-07 2.56E-08  1.055397E-10 3.17E-10  1.961087E-10 2.51E-11  3.016484E-10 3.42E-10  6.927850E-07 2.56E-08
   35 L1 L2  1.6710E+02  5.171444E-09 2.22E-09  0.000000E+00 0.00E+00  1.574596E-11 7.12E-12  1.574596E-11 7.12E-12  5.187190E-09 2.22E-09
   35 M2 N1  1.6764E+02  3.346835E-07 1.78E-08  1.055397E-10 3.17E-10  9.089711E-11 1.71E-11  1.964368E-10 3.34E-10  3.348799E-07 1.78E-08
   35 L1 L3  2.1560E+02  2.744031E-08 5.11E-09  1.055397E-10 3.17E-10  9.447574E-11 1.74E-11  2.000154E-10 3.34E-10  2.764033E-08 5.12E-09
   35 M1 N2  2.3990E+02  1.230657E-07 1.08E-08  1.055397E-10 3.17E-10  3.363909E-11 1.04E-11  1.391788E-10 3.27E-10  1.232049E-07 1.08E-08
   35 M1 N3  2.4046E+02  1.899804E-07 1.34E-08  0.000000E+00 0.00E+00  5.904733E-11 1.38E-11  5.904733E-11 1.38E-11  1.900394E-07 1.34E-08
   19 L3 M1  2.5970E+02  2.164088E-05 1.44E-07  2.427412E-09 1.52E-09  5.849623E-09 1.37E-10  8.277035E-09 1.66E-09  2.164915E-05 1.44E-07
   19 L2 M1  2.6245E+02  1.115532E-05 1.03E-07  1.899714E-09 1.34E-09  3.151338E-09 1.01E-10  5.051052E-09 1.44E-09  1.116037E-05 1.03E-07
   19 L3 M3  2.7690E+02  5.804682E-09 2.35E-09  0.000000E+00 0.00E+00  2.147176E-12 2.63E-12  2.147176E-12 2.63E-12  5.806829E-09 2.35E-09
   19 L3 M2  2.7718E+02  6.015761E-09 2.39E-09  0.000000E+00 0.00E+00  1.431451E-12 2.15E-12  1.431451E-12 2.15E-12  6.017193E-09 2.39E-09
   19 L2 M3  2.7952E+02  5.910579E-09 2.37E-09  0.000000E+00 0.00E+00  7.157253E-13 1.52E-12  7.157253E-13 1.52E-12  5.911295E-09 2.37E-09
   19 L3 N1  2.9442E+02  5.287788E-07 2.24E-08  1.055397E-10 3.17E-10  1.417136E-10 2.14E-11  2.472533E-10 3.38E-10  5.290260E-07 2.24E-08
   19 L2 N1  2.9743E+02  2.753641E-07 1.62E-08  0.000000E+00 0.00E+00  7.694047E-11 1.57E-11  7.694047E-11 1.57E-11  2.754410E-07 1.62E-08
   19 L1 M3  3.6152E+02  1.526378E-06 3.81E-08  9.498570E-10 9.50E-10  6.108715E-10 4.44E-11  1.560729E-09 9.94E-10  1.527938E-06 3.81E-08
   19 L1 M2  3.6181E+02  1.002771E-06 3.09E-08  3.166190E-10 5.48E-10  3.986590E-10 3.58E-11  7.152780E-10 5.84E-10  1.003487E-06 3.09E-08
   35 L3 M1  1.2935E+03  5.387510E-06 7.16E-08  5.382523E-09 2.26E-09  1.755424E-08 2.38E-10  2.293676E-08 2.50E-09  5.410447E-06 7.16E-08
   35 L2 M1  1.3396E+03  2.093282E-06 4.46E-08  1.899714E-09 1.34E-09  7.269979E-09 1.53E-10  9.169693E-09 1.50E-09  2.102452E-06 4.46E-08
   35 L3 M2  1.3608E+03  1.741476E-08 4.07E-09  0.000000E+00 0.00E+00  5.833161E-11 1.37E-11  5.833161E-11 1.37E-11  1.747309E-08 4.07E-09
