tNm, kCKa, kCuLa
1.0, 0.00679, 1.00468
2.0, 0.01033, 1.00851
3.0, 0.01052, 0.95390
4.0, 0.01405, 1.04551
5.0, 0.01647, 1.00791
6.0, 0.01907, 0.96341
7.0, 0.01860, 0.92910
8.0, 0.02466, 0.96062
9.0, 0.02323, 0.99571
10.0, 0.02897, 0.97133
11.0, 0.02983, 0.92016
12.0, 0.03770, 0.95135
13.0, 0.03279, 0.96736
14.0, 0.03725, 0.98681
15.0, 0.05073, 0.95812
16.0, 0.05205, 0.96921
17.0, 0.04593, 0.96745
18.0, 0.05963, 0.91011
19.0, 0.05661, 0.93309
20.0, 0.05264, 0.91268
21.0, 0.05999, 0.95602
22.0, 0.06326, 0.93572
23.0, 0.05866, 0.95317
24.0, 0.06505, 0.91342
25.0, 0.07528, 0.94139
26.0, 0.06263, 0.98191
27.0, 0.07929, 0.91872
28.0, 0.09017, 0.90403
29.0, 0.08124, 0.94703
30.0, 0.08456, 0.96176
31.0, 0.08745, 0.93329
32.0, 0.08007, 0.91095
33.0, 0.08430, 0.90008
34.0, 0.10215, 0.93571
35.0, 0.09210, 0.95055
36.0, 0.12652, 0.93613
37.0, 0.11406, 0.91949
38.0, 0.09344, 0.96858
39.0, 0.11085, 0.95848
40.0, 0.12957, 0.87323
41.0, 0.11684, 0.91894
42.0, 0.13683, 0.84201
43.0, 0.12239, 0.89350
44.0, 0.11570, 0.90434
45.0, 0.12152, 0.87709
46.0, 0.12879, 0.90922
47.0, 0.12087, 0.92054
48.0, 0.13514, 0.84804
49.0, 0.11748, 0.88070
50.0, 0.13223, 0.89080
51.0, 0.10828, 0.95110
52.0, 0.16169, 0.79828
53.0, 0.13602, 0.82238
54.0, 0.15426, 0.90605
55.0, 0.20137, 0.85559
56.0, 0.16511, 0.84386
57.0, 0.14627, 0.90868
58.0, 0.19811, 0.84066
59.0, 0.17098, 0.86835
60.0, 0.17458, 0.87052
61.0, 0.18214, 0.87829
62.0, 0.18129, 0.88113
63.0, 0.19415, 0.83189
64.0, 0.16574, 0.89955
65.0, 0.17569, 0.84453
66.0, 0.17672, 0.87395
67.0, 0.16533, 0.88340
68.0, 0.20650, 0.76894
69.0, 0.19541, 0.85371
70.0, 0.23222, 0.81881
71.0, 0.21479, 0.81467
72.0, 0.20526, 0.85890
73.0, 0.18828, 0.82323
74.0, 0.20646, 0.86572
75.0, 0.20112, 0.84486
76.0, 0.21265, 0.82228
77.0, 0.21209, 0.80254
78.0, 0.21649, 0.78495
79.0, 0.23401, 0.80924
80.0, 0.21706, 0.80610
81.0, 0.24641, 0.78412
82.0, 0.21498, 0.78058
83.0, 0.23746, 0.79058
84.0, 0.22446, 0.78650
85.0, 0.24028, 0.75925
86.0, 0.28227, 0.79619
87.0, 0.24620, 0.78268
88.0, 0.24848, 0.75097
89.0, 0.24078, 0.78978
90.0, 0.23106, 0.85457
91.0, 0.31265, 0.76449
92.0, 0.28210, 0.76878
93.0, 0.27142, 0.82127
94.0, 0.26744, 0.79692
95.0, 0.27370, 0.77408
96.0, 0.28397, 0.76276
97.0, 0.25940, 0.80362
98.0, 0.25583, 0.78341
99.0, 0.27215, 0.80725
100.0, 0.31594, 0.73291
101.0, 0.30319, 0.74432
102.0, 0.26557, 0.77341
103.0, 0.29471, 0.73450
104.0, 0.34642, 0.70260
105.0, 0.33962, 0.75661
106.0, 0.26726, 0.75806
107.0, 0.27830, 0.80358
108.0, 0.31997, 0.73592
109.0, 0.32560, 0.75791
110.0, 0.29464, 0.75639
111.0, 0.31957, 0.75235
112.0, 0.31469, 0.71438
113.0, 0.34131, 0.70978
114.0, 0.34011, 0.69670
115.0, 0.36203, 0.70102
116.0, 0.35386, 0.71243
117.0, 0.34429, 0.74610
118.0, 0.35149, 0.70494
119.0, 0.34623, 0.71304
120.0, 0.31882, 0.73198
121.0, 0.35726, 0.68372
122.0, 0.31749, 0.72698
