Idx,rhoz(mg/cm^2),G(O K-L3),E(O K-L3),G(Mg K-L3),E(Mg K-L3),G(Al K-L3),E(Al K-L3),G(Al K-M3),E(Al K-M3),G(P K-L3),E(P K-L3),G(P K-M3),E(P K-M3)
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.00026647,1.2725,1.26996,1.25879,1.25781,1.2535,1.25274,1.2535,1.25282,1.23942,1.23902,1.23942,1.23908
2,0.000532941,1.28532,1.28019,1.26937,1.2674,1.26403,1.26249,1.26403,1.26267,1.25035,1.24953,1.25035,1.24966
3,0.000799411,1.29806,1.2903,1.27987,1.27689,1.27448,1.27215,1.27448,1.27241,1.26117,1.25993,1.26117,1.26012
4,0.00106588,1.31073,1.30029,1.2903,1.2863,1.28484,1.28171,1.28484,1.28206,1.27187,1.27021,1.27187,1.27046
5,0.00133235,1.32333,1.31016,1.30064,1.29561,1.29511,1.29117,1.29511,1.29161,1.28247,1.28037,1.28247,1.28069
6,0.00159882,1.33584,1.3199,1.31091,1.30482,1.3053,1.30053,1.3053,1.30107,1.29295,1.29041,1.29295,1.2908
7,0.00186529,1.34828,1.32953,1.3211,1.31394,1.31541,1.3098,1.31541,1.31044,1.30332,1.30034,1.30332,1.3008
8,0.00213176,1.36065,1.33905,1.33122,1.32298,1.32543,1.31897,1.32543,1.3197,1.31358,1.31015,1.31358,1.31067
9,0.00239823,1.37294,1.34844,1.34125,1.33191,1.33536,1.32805,1.33536,1.32888,1.32374,1.31985,1.32374,1.32044
10,0.0026647,1.38515,1.35772,1.35121,1.34076,1.34521,1.33703,1.34521,1.33795,1.33378,1.32942,1.33378,1.33008
11,0.00293117,1.39729,1.36687,1.36108,1.34951,1.35498,1.34591,1.35498,1.34694,1.34371,1.33888,1.34371,1.33962
12,0.00319764,1.40935,1.37592,1.37088,1.35817,1.36466,1.3547,1.36466,1.35583,1.35353,1.34822,1.35353,1.34903
13,0.00346412,1.42133,1.38484,1.3806,1.36674,1.37425,1.36339,1.37425,1.36462,1.36323,1.35745,1.36323,1.35833
14,0.00373059,1.43324,1.39366,1.39025,1.37522,1.38376,1.37199,1.38376,1.37332,1.37283,1.36656,1.37283,1.36751
15,0.00399706,1.44507,1.40236,1.39981,1.38361,1.39318,1.38049,1.39318,1.38192,1.38232,1.37555,1.38232,1.37658
16,0.00426353,1.45683,1.41094,1.4093,1.3919,1.40252,1.3889,1.40252,1.39044,1.39169,1.38443,1.39169,1.38553
17,0.00453,1.46851,1.41941,1.41871,1.40011,1.41178,1.39721,1.41178,1.39885,1.40096,1.39319,1.40096,1.39437
18,0.00479647,1.48011,1.42777,1.42804,1.40822,1.42095,1.40542,1.42095,1.40718,1.41011,1.40184,1.41011,1.40309
19,0.00506294,1.49164,1.43601,1.43729,1.41625,1.43003,1.41355,1.43003,1.41541,1.41916,1.41036,1.41916,1.4117
20,0.00532941,1.5031,1.44415,1.44646,1.42418,1.43903,1.42157,1.43903,1.42354,1.42809,1.41878,1.42809,1.42019
21,0.00559588,1.51447,1.45217,1.45555,1.43202,1.44794,1.42951,1.44794,1.43159,1.43691,1.42707,1.43691,1.42857
22,0.00586235,1.52577,1.46008,1.46457,1.43977,1.45677,1.43735,1.45677,1.43954,1.44562,1.43526,1.44562,1.43683
23,0.00612882,1.537,1.46788,1.47351,1.44744,1.46552,1.44509,1.46552,1.44739,1.45422,1.44332,1.45422,1.44498
24,0.00639529,1.54815,1.47558,1.48237,1.45501,1.47418,1.45274,1.47418,1.45516,1.46271,1.45127,1.46271,1.45301
25,0.00666176,1.55922,1.48316,1.49115,1.4625,1.48275,1.4603,1.48275,1.46283,1.47109,1.45911,1.47109,1.46093
26,0.00692823,1.57022,1.49064,1.49986,1.46989,1.49124,1.46776,1.49124,1.47041,1.47936,1.46683,1.47936,1.46873
27,0.0071947,1.58114,1.49801,1.50848,1.4772,1.49964,1.47513,1.49964,1.47789,1.48751,1.47444,1.48751,1.47642
28,0.00746117,1.59198,1.50527,1.51703,1.48441,1.50796,1.48241,1.50796,1.48529,1.49556,1.48193,1.49556,1.484
29,0.00772764,1.60275,1.51242,1.5255,1.49154,1.51619,1.4896,1.51619,1.49259,1.50349,1.4893,1.50349,1.49146
30,0.00799411,1.61345,1.51947,1.53389,1.49858,1.52434,1.49669,1.52434,1.4998,1.51132,1.49656,1.51132,1.4988
31,0.00826058,1.62406,1.52641,1.5422,1.50553,1.5324,1.50369,1.5324,1.50692,1.51903,1.50371,1.51903,1.50604
32,0.00852705,1.63461,1.53325,1.55043,1.5124,1.54038,1.51059,1.54038,1.51394,1.52664,1.51074,1.52664,1.51315
