Parameters:
E0	15 keV
Layers: [[C, 2e-08], [ZnO, 4.9999999999999996e-05]]
"Corner[0]", -5.0E-4, -5.0E-4, 0.0
"Corner[1]", 5.0E-4, 5.0E-4, 2.0E-8

x,y,z,energy
0, 0, 0, 4.469043443855575E37, 14.32039303459155
0, 0, 1, 4.971203650544778E37, 15.92949162950633
0, 0, 2, 5.455407417880716E37, 17.48105145303277
0, 0, 3, 4.980376345179657E37, 15.95888418162805
0, 0, 4, 4.889142916798777E37, 15.666540066221485
0, 0, 5, 4.681175697009307E37, 15.000139669109407
0, 0, 6, 4.70371483803046E37, 15.07236303461031
0, 0, 7, 4.8637248953706075E37, 15.585091751478988
0, 0, 8, 4.461111334224085E37, 14.294975754821632
0, 0, 9, 3.8674521405057936E37, 12.392682100833293
151.70161267582975
