t.ZnO.nm,O.Ka1.KR.mu,O.Ka1.KR.un,Zn.La1.KR.mu,Zn.La1.KR.un,Si.Ka1.KR.mu,Si.Ka1.KR.un
0.1,0.006799,0.000116,0,0,0.997615,0.000215
5,0.070496,0.000133,0.072211,0.000105,0.888278,0.000204
10,0.144937,0.000151,0.153345,0.000127,0.776353,0.000192
20,0.312907,0.000185,0.3343,0.000164,0.553674,0.000165
30,0.478766,0.000214,0.509292,0.000193,0.363717,0.000139
40,0.631657,0.000237,0.664531,0.000215,0.214305,0.000113
50,0.759873,0.000255,0.78925,0.000232,0.114254,9.2e-05
60,0.855324,0.000267,0.877581,0.000243,0.054296,7.7e-05
70,0.92199,0.000276,0.93506,0.00025,0.021608,6.6e-05
80,0.964344,0.000281,0.971449,0.000254,0.008082,6.1e-05
90,0.987362,0.000284,0.987146,0.000256,0.003523,6e-05
100,0.997585,0.000285,0.993567,0.000257,0.002721,6e-05
110,1.00342,0.000286,0.995987,0.000257,0,0
115,1.00281,0.000286,0.995941,0.000257,0,0
120,1.00478,0.000286,0.996446,0.000257,0,0
125,1.00512,0.000286,0.99748,0.000257,0,0
130,1.00634,0.000286,0.998854,0.000257,0,0
135,1.00644,0.000286,0.99872,0.000257,0,0
140,1.00593,0.000286,0.998131,0.000257,0,0
145,1.00497,0.000286,0.997296,0.000257,0,0
150,1.00502,0.000286,0.998178,0.000257,0,0
